Status,age,income,OpenCredit_Lines_and_loans,loan_type,loan_amount,term,property_value,loan_limit,approv_in_adv,LTV,dtir1
1,42,1740,1,0,2652,360,118000,1,0,98.72881356,0.121876201
1,40,4980,2,0,3102.84,360,6742923,1,0,6219,0.085113375
1,32,9480,3,0,3366,360,508000,1,1,80.01968504,0.036049682
1,51,11880,1,1,64859.76,360,658000,1,0,69.3768997,0.024925695
1,76,10440,2,1,3570,360,758000,1,1,91.88654354,0.375606969
1,59,10080,2,3,0,360,1008000,1,1,70.08928571,5710
1,41,5040,1,0,3570,360,438000,1,1,79.10958904,0.209940017
1,29,3780,2,0,0,360,308000,0,0,86.52597403,46
1,32,5580,3,0,2550,360,478000,1,0,78.76569038,0.30947621
1,53,6720,2,2,6631.02,360,688000,1,0,63.44476744,0.53152876
1,48,4020,2,2,12703.08,300,168000,1,0,81.25,0.298354075
0,42,9540,1,1,13974,360,708000,1,0,65.88983051,0.382964747
1,78,3780,2,1,0,360,258000,1,0,80.03875969,477
1,66,148185,2,1,11589.24,360,508000,1,0,85.92519685,0.209891754
1,80,7860,1,2,0,360,298000,1,0,76.00671141,2058
1,27,2220,3,0,339.66,360,138000,1,0,55.43478261,0.065868263
1,45,5340,1,2,12546,360,368000,1,0,96.875,0.430046338
0,40,3120,3,1,3060,360,168000,1,1,93.1547619,0.475841386
1,41,5340,2,0,2550,360,598000,1,0,67.97658863,0.241103559
1,34,12540,3,0,8074.32,360,748000,1,0,78.40909091,0.085512189
0,52,16860,2,3,4769.52,180,558000,1,0,54.92831541,1.595253368
1,71,2100,2,0,2550,360,198000,1,0,68.93939394,0.042383047
1,26,2880,2,0,3468,360,448000,1,1,68.41517857,0.011761247
1,60,2760,3,1,5610,360,508000,1,0,62.30314961,0.436102527
1,30,4980,1,0,4284,360,428000,1,0,78.62149533,0.155201143
1,64,8940,3,1,0,360,568000,0,0,75.08802817,977
1,59,6780,2,2,7140,360,12853680,1,0,2926,0.313812313
1,52,3840,2,1,4080,360,258000,1,0,76.1627907,0.567858035
1,54,3840,1,2,3570,360,218000,1,0,85.55045872,0.808340474
1,43,4920,3,1,5814,360,468000,1,0,93.26923077,0.539554464
1,83,5400,3,0,0,360,258000,1,0,95.54263566,75
1,33,364687,1,0,9435,360,228000,1,0,94.95614035,0.048211004
1,30,5580,1,0,3734.22,360,318000,0,0,96.3836478,0.170125614
1,70,3720,1,1,1.02,360,338000,1,1,93.63905325,1687.5
1,72,7500,2,1,17136,360,538000,1,1,94.14498141,0.177787036
1,64,3540,1,0,3195.66,360,408000,1,0,65.31862745,0.011167837
1,33,9180,2,2,1975.74,360,1018000,1,0,39.93123772,0.689370485
1,40,9660,3,2,13260,360,1108000,1,0,59.25090253,0.393662026
1,72,3780,1,1,7038,180,418000,0,1,61.36363636,0.256339661
1,75,7560,3,1,0,360,418000,1,0,94.85645933,3095
0,33,9060,1,2,3060,360,528000,1,0,75.09469697,0.824725092
1,53,3480,1,1,5865,360,198000,1,1,84.09090909,0.306381499
1,48,0,1,0,13260,360,3002146,1,0,3434,0.016921775
1,66,3120,3,1,3280.32,360,248000,1,0,95.36290323,0.351258937
1,37,13620,1,0,5929.26,360,1508000,0,0,57.4602122,0.261609907
1,60,7380,3,1,7938.66,360,528000,1,0,78.88257576,0.241135663
1,71,4920,1,0,5712,360,508000,1,0,85.92519685,0.00803428
1,48,3720,3,2,3392.52,360,608000,0,0,58.63486842,1.051397656
1,62,257417,1,2,4590,360,428000,1,0,90.30373832,0.549877805
1,69,6780,2,1,3794.4,360,668000,1,0,89.29640719,0.540983607
1,57,9060,1,1,7877.46,312,338000,1,0,58.13609467,0.316416365
1,29,9600,1,0,779.28,180,708000,1,0,29.16666667,0.681045752
1,66,3360,3,1,9644.1,360,7761832,1,0,404,0.16106176
1,38,4560,2,2,8551.68,360,3832207,0,0,6685,0.262611807
1,69,22500,1,2,0,360,808000,1,0,75.06188119,1824
1,33,3300,1,2,0,360,948000,1,0,9.124472574,3162
1,38,4140,2,0,8772,180,128000,0,0,91.015625,0.116614347
1,39,6000,3,0,5074.5,180,598000,1,1,71.32107023,0.074155949
1,71,6600,1,2,15300,144,238000,0,1,69.95798319,0.270448637
1,55,11340,2,1,12662.28,180,608000,1,1,70.14802632,2.604510673
1,58,7080,1,2,5049,360,718000,1,0,52.43732591,0.492021814
1,33,4800,3,1,3366,360,298000,1,0,96.1409396,0.395031809
1,60,8520,3,1,4983.72,360,888000,1,0,79.56081081,0.316144874
1,60,2760,2,2,0,360,148000,1,0,98.98648649,3282
0,47,7140,2,2,4810.32,240,628000,1,0,71.09872611,0.591477634
1,53,5820,1,0,0,360,608000,1,0,47.12171053,15466
1,54,2100,1,2,0,360,2813137,1,0,5741,2662
1,46,12000,2,1,3162,360,658000,1,0,96.7325228,0.51241535
1,59,3720,1,1,5828.28,360,258000,0,0,87.79069767,0.280664917
1,34,5880,2,1,2958,360,928000,1,0,34.10560345,0.480523957
1,77,3300,3,0,7650,360,208000,1,0,75.24038462,0.006799093
1,63,8400,1,0,0,360,748000,1,0,94.45187166,15
