dtm,logx
4/5/2016,5.076535388
5/5/2016,4.966606775
6/5/2016,4.998279272
7/5/2016,4.938702391
8/5/2016,4.993116058
9/5/2016,5.082918746
10/5/2016,5.157519638
11/5/2016,5.178209756
12/5/2016,5.05544931
13/5/2016,5.038231006
14/5/2016,4.998144272
15/5/2016,5.034384372
16/5/2016,5.059774604
17/5/2016,4.961080838
18/5/2016,5.012912699
19/5/2016,4.95802183
20/5/2016,5.035737579
21/5/2016,5.05267255
22/5/2016,5.183170229
23/5/2016,5.159738974
24/5/2016,5.026948179
25/5/2016,5.025169164
26/5/2016,5.011108515
27/5/2016,5.075230064
28/5/2016,5.103658011
29/5/2016,4.992803923
30/5/2016,5.048316361
31/5/2016,4.986991298
1/6/2016,5.033902501
2/6/2016,5.092012496
3/6/2016,5.176471715
4/6/2016,5.192573444
5/6/2016,5.046266238
6/6/2016,5.044637285
7/6/2016,5.030666653
8/6/2016,5.133607804
9/6/2016,5.185199059
10/6/2016,5.056029221
11/6/2016,5.102709942
12/6/2016,5.03348556
13/6/2016,5.060466186
14/6/2016,5.157179979
15/6/2016,5.229454844
16/6/2016,5.22917627
17/6/2016,5.107380807
18/6/2016,5.099921304
19/6/2016,5.131943959
20/6/2016,5.21571806
21/6/2016,5.281501774
22/6/2016,5.093437268
23/6/2016,5.132481176
24/6/2016,5.056990751
25/6/2016,5.133419138
26/6/2016,5.198668287
27/6/2016,5.29414869
28/6/2016,5.279964987
29/6/2016,5.173309545
30/6/2016,5.115865801
1/7/2016,5.120314471
2/7/2016,5.218131732
3/7/2016,5.288812337
4/7/2016,5.157594463
5/7/2016,5.15595279
6/7/2016,5.075255062
7/7/2016,5.167918206
8/7/2016,5.239548834
9/7/2016,5.312944861
10/7/2016,5.331070092
11/7/2016,5.224681591
12/7/2016,5.170557856
13/7/2016,5.172691783
14/7/2016,5.258042098
15/7/2016,5.347045624
16/7/2016,5.228897618
17/7/2016,5.210327329
18/7/2016,5.13732668
19/7/2016,5.184078667
20/7/2016,5.230980266
21/7/2016,5.310848523
22/7/2016,5.323502541
23/7/2016,5.1983589
24/7/2016,5.192695706
25/7/2016,5.18049058
26/7/2016,5.241588272
27/7/2016,5.299796272
28/7/2016,5.241540645
29/7/2016,5.235084659
30/7/2016,5.129999302
31/7/2016,5.170858925
1/8/2016,5.245696876
2/8/2016,5.380164599
3/8/2016,5.373559338
4/8/2016,5.255921217
5/8/2016,5.186049718
6/8/2016,5.186105657
7/8/2016,5.277343954
8/8/2016,5.331549027
9/8/2016,5.19217877
10/8/2016,5.224853802
11/8/2016,5.152372097
12/8/2016,5.182564144
13/8/2016,5.313309422
14/8/2016,5.396600396
15/8/2016,5.350145768
16/8/2016,5.231381307
17/8/2016,5.201575162
18/8/2016,5.169301478
19/8/2016,5.27722651
20/8/2016,5.345649325
21/8/2016,5.195985593
22/8/2016,5.236271736
23/8/2016,5.152580359
24/8/2016,5.178857927
25/8/2016,5.228147016
26/8/2016,5.351218118
27/8/2016,5.327351759
28/8/2016,5.197806185
29/8/2016,5.15428532
30/8/2016,5.156748042
31/8/2016,5.220128772
1/9/2016,5.277456279
2/9/2016,5.151700734
3/9/2016,5.20822306
